Category,insect,animal,can fly,lives underwater,plant,food / drinks,musical instrument,transportation vehicle,used in sports,weapon
airplanes,,,x,,,,,x,,
ak47,,,,,,,,,,x
american flag,,,,,,,,,,
backpack,,,,,,,,,,
baseball bat,,,,,,,,,x,
baseball glove,,,,,,,,,x,
basketball hoop,,,,,,,,,x,
bat,,x,x,,,,,,,
bathtub,,,,,,,,,,
bear,,x,,,,,,,,
beer mug,,,,,,,,,,
billiards,,,,,,,,,x,
binoculars,,,,,,,,,x,
birdbath,,,,,,,,,,
blimp,,,,,,,,x,,
bonsai,,,,,x,,,,,
boom box,,,,,,,,,,
bowling ball,,,,,,,,,x,
bowling pin,,,,,,,,,x,
boxing glove,,,,,,,,,x,
brain,,,,,,,,,,
breadmaker,,,,,,,,,,
buddha,,,,,,,,,,
bulldozer,,,,,,,,x,,
butterfly,x,,x,,,,,,,
cactus,,,,,x,,,,,
cake,,,,,,x,,,,
calculator,,,,,,,,,,
camel,,x,,,,,,,,
cannon,,,,,,,,,,x
canoe,,,,,,,,x,x,
car side,,,,,,,,,,
car tire,,,,,,,,,,
cartman,,,,,,,,,,
cd,,,,,,,,,,
centipede,x,,,,,,,,,
cereal box,,,,,,x,,,,
chandelier,,,,,,,,,,
chess board,,,,,,,,,x,
chimp,,x,,,,,,,,
chopsticks,,,,,,,,,,
clutter,,,,,,,,,,
cockroach,x,,,,,,,,,
coffee mug,,,,,,,,,,
coffin,,,,,,,,,,
coin,,,,,,,,,,
comet,,,,,,,,,,
computer keyboard,,,,,,,,,,
computer monitor,,,,,,,,,,
computer mouse,,,,,,,,,,
conch,,,,,,,,,,
cormorant,,x,x,,,,,,,
covered wagon,,,,,,,,,,
cowboy hat,,,,,,,,,,
crab,,x,,,,,,,,
desk globe,,,,,,,,,,
diamond ring,,,,,,,,,,
dice,,,,,,,,,,
dog,,x,,,,,,,,
dolphin,,x,,x,,,,,,
doorknob,,,,,,,,,,
drinking straw,,,,,,,,,,
